Date,Week,Year,Fuel,State,Region,Geography_Type,Price_CPL,Source_Name,Page_URL
2026-06-21,21 Jun,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,197.4,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-06-28,28 Jun,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,183.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-07-05,5 Jul,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.1,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-07-12,12 Jul,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,189.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-07-19,19 Jul,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,200.4,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-07-26,26 Jul,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,220.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-08-02,2 Aug,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,235.5,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-08-09,9 Aug,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,247.5,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-08-16,16 Aug,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,244.6,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-08-24,24 Aug,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.7,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-08-31,31 Aug,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.3,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-09-07,7 Sep,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.5,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-09-14,14 Sep,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.8,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-09-21,21 Sep,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.9,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-09-28,28 Sep,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.7,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-10-05,5 Oct,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.8,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-10-12,12 Oct,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.9,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-10-19,19 Oct,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.3,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-10-26,26 Oct,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.0,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-11-02,2 Nov,2025,Diesel,NSW/ACT,NSW State Average,State Average,183.5,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-11-09,9 Nov,2025,Diesel,NSW/ACT,NSW State Average,State Average,184.7,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-11-16,16 Nov,2025,Diesel,NSW/ACT,NSW State Average,State Average,187.5,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-11-23,23 Nov,2025,Diesel,NSW/ACT,NSW State Average,State Average,190.4,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-11-30,30 Nov,2025,Diesel,NSW/ACT,NSW State Average,State Average,191.5,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-12-07,7 Dec,2025,Diesel,NSW/ACT,NSW State Average,State Average,191.2,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-12-14,14 Dec,2025,Diesel,NSW/ACT,NSW State Average,State Average,190.4,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-12-21,21 Dec,2025,Diesel,NSW/ACT,NSW State Average,State Average,189.4,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2025-12-28,28 Dec,2025,Diesel,NSW/ACT,NSW State Average,State Average,187.7,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-01-04,4 Jan,2026,Diesel,NSW/ACT,NSW State Average,State Average,186.2,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-01-11,11 Jan,2026,Diesel,NSW/ACT,NSW State Average,State Average,184.0,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-01-18,18 Jan,2026,Diesel,NSW/ACT,NSW State Average,State Average,182.3,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-01-25,25 Jan,2026,Diesel,NSW/ACT,NSW State Average,State Average,181.5,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-02-01,1 Feb,2026,Diesel,NSW/ACT,NSW State Average,State Average,180.8,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-02-08,8 Feb,2026,Diesel,NSW/ACT,NSW State Average,State Average,180.0,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-02-15,15 Feb,2026,Diesel,NSW/ACT,NSW State Average,State Average,179.8,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-02-22,22 Feb,2026,Diesel,NSW/ACT,NSW State Average,State Average,179.8,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-03-01,1 Mar,2026,Diesel,NSW/ACT,NSW State Average,State Average,180.6,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-03-08,8 Mar,2026,Diesel,NSW/ACT,NSW State Average,State Average,199.2,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-03-15,15 Mar,2026,Diesel,NSW/ACT,NSW State Average,State Average,248.0,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-03-22,22 Mar,2026,Diesel,NSW/ACT,NSW State Average,State Average,283.8,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-03-29,29 Mar,2026,Diesel,NSW/ACT,NSW State Average,State Average,311.4,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-04-05,5 Apr,2026,Diesel,NSW/ACT,NSW State Average,State Average,314.1,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-04-12,12 Apr,2026,Diesel,NSW/ACT,NSW State Average,State Average,318.9,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-04-19,19 Apr,2026,Diesel,NSW/ACT,NSW State Average,State Average,308.1,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-04-26,26 Apr,2026,Diesel,NSW/ACT,NSW State Average,State Average,273.5,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-05-03,3 May,2026,Diesel,NSW/ACT,NSW State Average,State Average,252.1,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-05-10,10 May,2026,Diesel,NSW/ACT,NSW State Average,State Average,245.2,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
2026-05-17,17 May,2026,Diesel,NSW/ACT,NSW State Average,State Average,235.4,NSW State Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/
